Wall time,Step,Value
1657702717.5931168,2330000,33.0
1657702962.287391,2340000,34.0
1657703198.9088042,2350000,29.0
1657703912.298885,2380000,30.0
1657704151.3322473,2390000,20.66666603088379
1657704630.1327944,2410000,31.0
1657705105.9766097,2430000,26.0
1657705344.5318718,2440000,27.0
1657705584.4383538,2450000,35.0
1657705820.2459226,2460000,32.0
1657706058.61691,2470000,33.0
1657706298.7935178,2480000,33.0
1657706776.6077452,2500000,36.0
1657707013.7402346,2510000,17.0
1657707252.0169392,2520000,34.0
1657707490.9177485,2530000,18.0
1657707969.250024,2550000,19.0
1657708448.3502336,2570000,25.0
1657708685.625276,2580000,26.0
1657708919.6715093,2590000,27.25
1657709159.2337139,2600000,30.0
1657709874.1474402,2630000,37.0
1657710351.0218637,2650000,28.75
1657710589.4775176,2660000,27.0
1657710830.746411,2670000,26.66666603088379
1657711068.9800434,2680000,34.33333206176758
1657711309.7103434,2690000,32.0
1657711543.8729532,2700000,29.33333396911621
1657711783.075996,2710000,35.0
1657712039.732883,2720000,30.0
1657712279.331301,2730000,34.66666793823242
1657712757.3762648,2750000,31.5
1657712993.9555984,2760000,38.5
1657713234.4780338,2770000,30.33333396911621
1657713470.4780378,2780000,34.20000076293945
1657713711.8719523,2790000,28.0
1657713952.1431575,2800000,34.66666793823242
1657714192.6354241,2810000,36.5
1657714430.146011,2820000,29.0
1657714665.6519637,2830000,34.0
1657714907.469391,2840000,39.66666793823242
1657715146.501642,2850000,36.0
1657715385.5289211,2860000,35.66666793823242
1657715620.415135,2870000,35.0
1657715858.4764745,2880000,36.33333206176758
1657716338.7412643,2900000,41.0
1657716577.5456665,2910000,42.0
1657716815.5740063,2920000,43.0
1657717054.1853008,2930000,39.0
1657717293.8350823,2940000,34.33333206176758
1657717531.3817463,2950000,41.0
1657717771.5215511,2960000,39.5
1657718007.2729702,2970000,38.66666793823242
1657718247.4299295,2980000,38.0
1657718484.0901124,2990000,36.0
1657718720.70443,3000000,40.33333206176758
